Category;TechnicalInterestArea;CourseCode;GraduateLevel;CourseName;LectureHours;Laboratory hours;CreditHours;TotalHours;"Fall
2023";"Spring
2024";"Summer
2024";"Fall
2024";"Spring
2025"
Bioengineering;Bioengineering;ECE 6200 ;Yes; Biomedical Applications of MEMS;3;0;0;3;;X;;;X
Bioengineering;Bioengineering;ECE 6780 ;Yes; Medical Image Processing;3;0;0;3;;X;;;
Bioengineering;Bioengineering;ECE 6781 ;Yes; Biomedical Sensing Systems;3;0;0;3;X;;;X;
Bioengineering;Bioengineering;ECE 6786 ;Yes; Medical Imaging Systems;3;0;0;3;X;;;X;
Bioengineering;Bioengineering;ECE 6790 ;Yes; Information Processing Models in Neural Systems;3;0;0;3;;;;;X
Bioengineering;Bioengineering;ECE 8833 ;Yes; Medical Ultrasound: From Diagnostic Imaging to Image-guided;3;0;0;3;;;;;
Bioengineering;Bioengineering;ECE 8843 ;Yes; Advanced Medical Imaging Systems: CT/PET/SPECT Physics;3;0;0;3;;;;;
Bioengineering;Bioengineering;ECE 8803 BFA ;Yes; Bioelectromagetics Fundamentals & Applications;3;0;0;3;;X;;;X
Computer Systems and Software;Computer Systems and Software;ECE 6100 ;Yes; Advanced Computer Architecture;3;0;0;3;video;X;;video;X
Computer Systems and Software;Computer Systems and Software;ECE 6101 ;Yes; Parallel & Distributed Computer Arch;3;0;0;3;;;;;
Computer Systems and Software;Computer Systems and Software;ECE 6102 ;Yes; Dependable Distributed Systems;3;0;0;3;;;;;
Computer Systems and Software;Computer Systems and Software;ECE 6110 ;Yes; CAD for Computer Communication Networks;2;0;3;3;;X;;;
Computer Systems and Software;Computer Systems and Software;ECE 6115 ;Yes; Interconnection Networks for High Performance;3;0;0;3;;;;;
Computer Systems and Software;Computer Systems and Software;ECE 6122 ;Yes; Advanced Programming Techniques for Engineering;2;0;3;3;video;;;video;
Computer Systems and Software;Computer Systems and Software;ECE 6612 ;Yes;Computer Network Security;3;0;0;3;X;;;;X
Computer Systems and Software;Computer Systems and Software;ECE 6747 ;Yes; Advanced Topics in Malware Analysis;3;0;0;3;X;;;X;
Computer Systems and Software;Computer Systems and Software;ECE 6770 ;Yes; Introduction to Cyber-Physical Systems Security;3;0;0;3;;;;;
Computer Systems and Software;Computer Systems and Software;ECE 7102 ;Yes; RISC Architectures;3;0;0;3;;;;;
Computer Systems and Software;Computer Systems and Software;ECE 8803 CPS ;Yes; Cyber Physical Design and Analysis (MSCSEC Energy);3;0;0;3;X;X;;X;X
Computer Systems and Software;Computer Systems and Software;ECE 8803 CSD ;Yes; Cybersecurity of Drones;3;0;0;3;;X;;;X
Computer Systems and Software;Computer Systems and Software;ECE 8803 ECS ;Yes; Empirical Computer Security;3;0;0;3;;;;;
Computer Systems and Software;Computer Systems and Software;ECE 8803 FML ;Yes; Fundamentals of Machine Learning;3;0;0;3;;X;;;X
Computer Systems and Software;Computer Systems and Software;ECE 8813 ACS ;Yes; Advanced Computer Security;3;0;0;3;X;;;X;
Computer Systems and Software;Computer Systems and Software;ECE 8853 QCS ;Yes; Introduction to Quantum Computing Systems;3;0;0;3;;;;;
